File Name,Text Prompt,Cosine Similarity
sample-all.mp4,sample-all,0.2379150390625
"a black swan is swimming on the water, Van Gogh style.mp4","a black swan is swimming on the water, Van Gogh style",0.284912109375
a white swan is swimming on the water.mp4,a white swan is swimming on the water,0.29150390625
sample-all.mp4,sample-all,0.23095703125
a black bear is sitting on the grass.mp4,a black bear is sitting on the grass,0.29150390625
a brown bear is sitting on the grass.mp4,a brown bear is sitting on the grass,0.3017578125
a polar bear is sitting on the ground.mp4,a polar bear is sitting on the ground,0.293701171875
sample-all.mp4,sample-all,0.2332763671875
a car is moving on the snow.mp4,a car is moving on the snow,0.270751953125
a jeep car is moving on the desert.mp4,a jeep car is moving on the desert,0.30322265625
a jeep car is moving on the road.mp4,a jeep car is moving on the road,0.302490234375
sample-all.mp4,sample-all,0.220947265625
a jeep car is moving on the beach.mp4,a jeep car is moving on the beach,0.29443359375
a jeep car is moving on the snow.mp4,a jeep car is moving on the snow,0.301513671875
a Porsche car is moving on the desert.mp4,a Porsche car is moving on the desert,0.296875
sample-all.mp4,sample-all,0.23779296875
a child is riding a bike on the flooded road.mp4,a child is riding a bike on the flooded road,0.34716796875
a lego child is riding a bike on the road.mp4,a lego child is riding a bike on the road,0.34228515625
sample-all.mp4,sample-all,0.2237548828125
a cow is walking on the snow.mp4,a cow is walking on the snow,0.29443359375
a dog is walking on the grass.mp4,a dog is walking on the grass,0.284912109375
a lion is walking on the grass.mp4,a lion is walking on the grass,0.328857421875
sample-all.mp4,sample-all,0.2060546875
"a dog is walking on the ground, Van Gogh style.mp4","a dog is walking on the ground, Van Gogh style",0.35546875
sample-all.mp4,sample-all,0.222412109375
a dog is running on the beach.mp4,a dog is running on the beach,0.294677734375
a dog is running on the desert.mp4,a dog is running on the desert,0.31201171875
sample-all.mp4,sample-all,0.22216796875
a lego lion is roaring.mp4,a lego lion is roaring,0.28759765625
"a lion is roaring, anime style.mp4","a lion is roaring, anime style",0.293701171875
"a wolf is roaring, anime style.mp4","a wolf is roaring, anime style",0.32177734375
sample-all.mp4,sample-all,0.232666015625
a man is running in New York City.mp4,a man is running in New York City,0.30224609375
"a man is running, Van Gogh style.mp4","a man is running, Van Gogh style",0.29541015625
Stephen Curry is running in Time Square.mp4,Stephen Curry is running in Time Square,0.269775390625
sample-all.mp4,sample-all,0.2449951171875
a puppy is eating an orange.mp4,a puppy is eating an orange,0.2042236328125
a rabbit is eating a pizza.mp4,a rabbit is eating a pizza,0.263916015625
a rabbit is eating an orange.mp4,a rabbit is eating an orange,0.256591796875
a tiger is eating a watermelon.mp4,a tiger is eating a watermelon,0.3291015625
sample-all.mp4,sample-all,0.23046875
A man with a dog skateboarding on the desert.mp4,A man with a dog skateboarding on the desert,0.2998046875
sample-all.mp4,sample-all,0.2392578125
a boy is playing skateboard on the ground.mp4,a boy is playing skateboard on the ground,0.306640625
