File Name,Text Prompt,CLIP Score
sample-all.mp4,sample-all,29.453125
"a black swan is swimming on the water, Van Gogh style.mp4","a black swan is swimming on the water, Van Gogh style",23.484375
a white swan is swimming on the water.mp4,a white swan is swimming on the water,28.1875
sample-all.mp4,sample-all,27.921875
a black bear is sitting on the grass.mp4,a black bear is sitting on the grass,23.90625
a brown bear is sitting on the grass.mp4,a brown bear is sitting on the grass,25.59375
a polar bear is sitting on the ground.mp4,a polar bear is sitting on the ground,26.984375
sample-all.mp4,sample-all,27.78125
a car is moving on the snow.mp4,a car is moving on the snow,26.78125
a jeep car is moving on the desert.mp4,a jeep car is moving on the desert,30.3125
a jeep car is moving on the road.mp4,a jeep car is moving on the road,30.828125
sample-all.mp4,sample-all,25.5625
a jeep car is moving on the beach.mp4,a jeep car is moving on the beach,25.28125
a jeep car is moving on the snow.mp4,a jeep car is moving on the snow,26.40625
a Porsche car is moving on the desert.mp4,a Porsche car is moving on the desert,26.21875
sample-all.mp4,sample-all,28.40625
a child is riding a bike on the flooded road.mp4,a child is riding a bike on the flooded road,26.28125
a lego child is riding a bike on the road.mp4,a lego child is riding a bike on the road,26.5
sample-all.mp4,sample-all,27.109375
a cow is walking on the snow.mp4,a cow is walking on the snow,24.921875
a dog is walking on the grass.mp4,a dog is walking on the grass,28.203125
a lion is walking on the grass.mp4,a lion is walking on the grass,31.4375
sample-all.mp4,sample-all,24.09375
"a dog is walking on the ground, Van Gogh style.mp4","a dog is walking on the ground, Van Gogh style",26.90625
sample-all.mp4,sample-all,26.671875
a dog is running on the beach.mp4,a dog is running on the beach,25.765625
a dog is running on the desert.mp4,a dog is running on the desert,29.6875
sample-all.mp4,sample-all,27.578125
a lego lion is roaring.mp4,a lego lion is roaring,27.6875
"a lion is roaring, anime style.mp4","a lion is roaring, anime style",30.40625
"a wolf is roaring, anime style.mp4","a wolf is roaring, anime style",33.9375
sample-all.mp4,sample-all,28.015625
a man is running in New York City.mp4,a man is running in New York City,32.28125
"a man is running, Van Gogh style.mp4","a man is running, Van Gogh style",24.75
Stephen Curry is running in Time Square.mp4,Stephen Curry is running in Time Square,23.375
sample-all.mp4,sample-all,33.21875
a puppy is eating an orange.mp4,a puppy is eating an orange,16.96875
a rabbit is eating a pizza.mp4,a rabbit is eating a pizza,23.71875
a rabbit is eating an orange.mp4,a rabbit is eating an orange,22.84375
a tiger is eating a watermelon.mp4,a tiger is eating a watermelon,25.671875
sample-all.mp4,sample-all,27.671875
A man with a dog skateboarding on the desert.mp4,A man with a dog skateboarding on the desert,24.421875
sample-all.mp4,sample-all,29.71875
a boy is playing skateboard on the ground.mp4,a boy is playing skateboard on the ground,25.671875
